PassengerId,Survived,Pclass,Sex,Age,Fare,FamilySize,isAlone,Title,Name_Len
1,0,3,1,22.0,7.25,2,0,0,23
2,1,1,0,38.0,71.2833,2,0,1,51
3,1,3,0,26.0,7.925,1,1,16,22
4,1,1,0,35.0,53.1,2,0,1,44
5,0,3,1,35.0,8.05,1,1,0,24
6,0,3,1,29.69911764705882,8.4583,1,1,0,16
7,0,1,1,54.0,51.8625,1,1,0,23
8,0,3,1,2.0,21.075,5,0,2,30
9,1,3,0,27.0,11.1333,3,0,1,49
10,1,2,0,14.0,30.0708,2,0,1,35
11,1,3,0,4.0,16.7,3,0,16,31
12,1,1,0,58.0,26.55,1,1,16,24
13,0,3,1,20.0,8.05,1,1,0,30
14,0,3,1,39.0,31.275,7,0,0,27
15,0,3,0,14.0,7.8542,1,1,16,36
16,1,2,0,55.0,16.0,1,1,1,32
17,0,3,1,2.0,29.125,6,0,2,20
18,1,2,1,29.69911764705882,13.0,1,1,0,28
19,0,3,0,31.0,18.0,2,0,1,55
20,1,3,0,29.69911764705882,7.225,1,1,1,23
21,0,2,1,35.0,26.0,1,1,0,20
22,1,2,1,34.0,13.0,1,1,0,21
23,1,3,0,15.0,8.0292,1,1,16,27
24,1,1,1,28.0,35.5,1,1,0,28
25,0,3,0,8.0,21.075,5,0,16,29
26,1,3,0,38.0,31.3875,7,0,1,57
27,0,3,1,29.69911764705882,7.225,1,1,0,23
28,0,1,1,19.0,263.0,6,0,0,30
29,1,3,0,29.69911764705882,7.8792,1,1,16,29
30,0,3,1,29.69911764705882,7.8958,1,1,0,19
31,0,1,1,40.0,27.7208,1,1,9,24
32,1,1,0,29.69911764705882,146.5208,2,0,1,46
33,1,3,0,29.69911764705882,7.75,1,1,16,24
34,0,2,1,66.0,10.5,1,1,0,21
35,0,1,1,28.0,82.1708,2,0,0,23
36,0,1,1,42.0,52.0,2,0,0,30
37,1,3,1,29.69911764705882,7.2292,1,1,0,16
38,0,3,1,21.0,8.05,1,1,0,24
39,0,3,0,18.0,18.0,3,0,16,34
40,1,3,0,14.0,11.2417,2,0,16,27
41,0,3,0,40.0,9.475,2,0,1,46
42,0,2,0,27.0,21.0,2,0,1,56
43,0,3,1,29.69911764705882,7.8958,1,1,0,19
44,1,2,0,3.0,41.5792,4,0,16,40
45,1,3,0,19.0,7.8792,1,1,16,29
46,0,3,1,29.69911764705882,8.05,1,1,0,24
47,0,3,1,29.69911764705882,15.5,2,0,0,17
48,1,3,0,29.69911764705882,7.75,1,1,16,25
49,0,3,1,29.69911764705882,21.6792,3,0,0,19
50,0,3,0,18.0,17.8,2,0,1,45
51,0,3,1,7.0,39.6875,6,0,2,26
52,0,3,1,21.0,7.8,1,1,0,28
53,1,1,0,49.0,76.7292,2,0,1,40
54,1,2,0,29.0,26.0,2,0,1,50
55,0,1,1,65.0,61.9792,2,0,0,30
56,1,1,1,29.69911764705882,35.5,1,1,0,17
57,1,2,0,21.0,10.5,1,1,16,17
58,0,3,1,28.5,7.2292,1,1,0,19
59,1,2,0,5.0,27.75,4,0,16,28
60,0,3,1,11.0,46.9,8,0,2,34
61,0,3,1,22.0,7.2292,1,1,0,21
62,1,1,0,38.0,80.0,1,1,16,19
63,0,1,1,45.0,83.475,2,0,0,27
64,0,3,1,4.0,27.9,6,0,2,21
65,0,1,1,29.69911764705882,27.7208,1,1,0,21
66,1,3,1,29.69911764705882,15.2458,3,0,2,24
67,1,2,0,29.0,10.5,1,1,1,28
68,0,3,1,19.0,8.1583,1,1,0,24
69,1,3,0,17.0,7.925,7,0,16,31
70,0,3,1,26.0,8.6625,3,0,0,17
71,0,2,1,32.0,10.5,1,1,0,26
72,0,3,0,16.0,46.9,8,0,16,26
73,0,2,1,21.0,73.5,1,1,0,20
74,0,3,1,26.0,14.4542,2,0,0,27
75,1,3,1,32.0,56.4958,1,1,0,13
76,0,3,1,25.0,7.65,1,1,0,23
77,0,3,1,29.69911764705882,7.8958,1,1,0,17
78,0,3,1,29.69911764705882,8.05,1,1,0,24
79,1,2,1,0.83,29.0,3,0,2,29
80,1,3,0,30.0,12.475,1,1,16,24
81,0,3,1,22.0,9.0,1,1,0,20
82,1,3,1,29.0,9.5,1,1,0,27
83,1,3,0,29.69911764705882,7.7875,1,1,16,30
84,0,1,1,28.0,47.1,1,1,0,23
85,1,2,0,17.0,10.5,1,1,16,19
86,1,3,0,33.0,15.85,4,0,1,55
87,0,3,1,16.0,34.375,5,0,0,22
88,0,3,1,29.69911764705882,8.05,1,1,0,29
89,1,1,0,23.0,263.0,6,0,16,26
90,0,3,1,24.0,8.05,1,1,0,22
91,0,3,1,29.0,8.05,1,1,0,20
92,0,3,1,20.0,7.8542,1,1,0,26
93,0,1,1,46.0,61.175,2,0,0,27
94,0,3,1,26.0,20.575,4,0,0,23
95,0,3,1,59.0,7.25,1,1,0,17
96,0,3,1,29.69911764705882,8.05,1,1,0,27
97,0,1,1,71.0,34.6542,1,1,0,25
98,1,1,1,23.0,63.3583,2,0,0,31
99,1,2,0,34.0,23.0,2,0,1,36
100,0,2,1,34.0,26.0,2,0,0,17
101,0,3,0,28.0,7.8958,1,1,16,23
102,0,3,1,29.69911764705882,7.8958,1,1,0,32
103,0,1,1,21.0,77.2875,2,0,0,25
104,0,3,1,33.0,8.6542,1,1,0,26
105,0,3,1,37.0,7.925,3,0,0,30
106,0,3,1,28.0,7.8958,1,1,0,21
107,1,3,0,21.0,7.65,1,1,16,32
108,1,3,1,29.69911764705882,7.775,1,1,0,22
109,0,3,1,38.0,7.8958,1,1,0,15
110,1,3,0,29.69911764705882,24.15,2,0,16,19
111,0,1,1,47.0,52.0,1,1,0,30
112,0,3,0,14.5,14.4542,2,0,16,20
113,0,3,1,22.0,8.05,1,1,0,22
114,0,3,0,20.0,9.825,2,0,16,23
115,0,3,0,17.0,14.4583,1,1,16,21
116,0,3,1,21.0,7.925,1,1,0,21
117,0,3,1,70.5,7.75,1,1,0,20
118,0,2,1,29.0,21.0,2,0,0,31
119,0,1,1,24.0,247.5208,2,0,0,24
120,0,3,0,2.0,31.275,7,0,16,33
121,0,2,1,21.0,73.5,3,0,0,27
122,0,3,1,29.69911764705882,8.05,1,1,0,26
123,0,2,1,32.5,30.0708,2,0,0,20
124,1,2,0,32.5,13.0,1,1,16,19
125,0,1,1,54.0,77.2875,2,0,0,27
126,1,3,1,12.0,11.2417,2,0,2,28
127,0,3,1,29.69911764705882,7.75,1,1,0,19
128,1,3,1,24.0,7.1417,1,1,0,25
129,1,3,0,29.69911764705882,22.3583,3,0,16,17
130,0,3,1,45.0,6.975,1,1,0,18
131,0,3,1,33.0,7.8958,1,1,0,20
132,0,3,1,20.0,7.05,1,1,0,30
133,0,3,0,47.0,14.5,2,0,1,46
134,1,2,0,29.0,26.0,2,0,1,45
135,0,2,1,25.0,13.0,1,1,0,30
136,0,2,1,23.0,15.0458,1,1,0,18
137,1,1,0,19.0,26.2833,3,0,16,28
138,0,1,1,37.0,53.1,2,0,0,27
139,0,3,1,16.0,9.2167,1,1,0,19
140,0,1,1,24.0,79.2,1,1,0,18
141,0,3,0,29.69911764705882,15.2458,3,0,1,29
142,1,3,0,22.0,7.75,1,1,16,24
143,1,3,0,24.0,15.85,2,0,1,52
144,0,3,1,19.0,6.75,1,1,0,19
145,0,2,1,18.0,11.5,1,1,0,26
146,0,2,1,19.0,36.75,3,0,0,28
147,1,3,1,27.0,7.7958,1,1,0,44
148,0,3,0,9.0,34.375,5,0,16,32
149,0,2,1,36.5,26.0,3,0,0,40
150,0,2,1,42.0,13.0,1,1,4,33
151,0,2,1,51.0,12.525,1,1,4,26
152,1,1,0,22.0,66.6,2,0,1,33
153,0,3,1,55.5,8.05,1,1,0,16
154,0,3,1,40.5,14.5,3,0,0,31
155,0,3,1,29.69911764705882,7.3125,1,1,0,21
156,0,1,1,51.0,61.3792,2,0,0,27
157,1,3,0,16.0,7.7333,1,1,16,32
158,0,3,1,30.0,8.05,1,1,0,15
159,0,3,1,29.69911764705882,8.6625,1,1,0,19
160,0,3,1,29.69911764705882,69.55,11,0,2,26
161,0,3,1,44.0,16.1,2,0,0,24
162,1,2,0,40.0,15.75,1,1,1,50
163,0,3,1,26.0,7.775,1,1,0,26
164,0,3,1,17.0,8.6625,1,1,0,15
165,0,3,1,1.0,39.6875,6,0,2,28
166,1,3,1,9.0,20.525,3,0,2,47
167,1,1,0,29.69911764705882,55.0,2,0,1,38
168,0,3,0,45.0,27.9,6,0,1,47
169,0,1,1,29.69911764705882,25.925,1,1,0,19
170,0,3,1,28.0,56.4958,1,1,0,13
171,0,1,1,61.0,33.5,1,1,0,25
172,0,3,1,4.0,29.125,6,0,2,20
173,1,3,0,1.0,11.1333,3,0,16,28
174,0,3,1,21.0,7.925,1,1,0,25
175,0,1,1,56.0,30.6958,1,1,0,23
176,0,3,1,18.0,7.8542,3,0,0,22
177,0,3,1,29.69911764705882,25.4667,5,0,2,29
178,0,1,0,50.0,28.7125,1,1,16,26
179,0,2,1,30.0,13.0,1,1,0,18
180,0,3,1,36.0,0.0,1,1,0,19
181,0,3,0,29.69911764705882,69.55,11,0,16,28
182,0,2,1,29.69911764705882,15.05,1,1,0,16
183,0,3,1,9.0,31.3875,7,0,2,37
184,1,2,1,1.0,39.0,4,0,2,25
185,1,3,0,4.0,22.025,3,0,16,35
186,0,1,1,29.69911764705882,50.0,1,1,0,21
187,1,3,0,29.69911764705882,15.5,2,0,1,47
188,1,1,1,45.0,26.55,1,1,0,45
189,0,3,1,40.0,15.5,3,0,0,16
190,0,3,1,36.0,7.8958,1,1,0,19
191,1,2,0,32.0,13.0,1,1,1,19
192,0,2,1,19.0,13.0,1,1,0,21
193,1,3,0,19.0,7.8542,2,0,16,47
194,1,2,1,3.0,26.0,3,0,2,26
195,1,1,0,44.0,27.7208,1,1,1,41
196,1,1,0,58.0,146.5208,1,1,16,20
197,0,3,1,29.69911764705882,7.75,1,1,0,19
198,0,3,1,42.0,8.4042,2,0,0,32
199,1,3,0,29.69911764705882,7.75,1,1,16,32
200,0,2,0,24.0,13.0,1,1,16,38
201,0,3,1,28.0,9.5,1,1,0,30
202,0,3,1,29.69911764705882,69.55,11,0,0,19
203,0,3,1,34.0,6.4958,1,1,0,26
204,0,3,1,45.5,7.225,1,1,0,20
205,1,3,1,18.0,8.05,1,1,0,24
206,0,3,0,2.0,10.4625,2,0,16,26
207,0,3,1,32.0,15.85,2,0,0,26
208,1,3,1,26.0,18.7875,1,1,0,27
209,1,3,0,16.0,7.75,1,1,16,25
210,1,1,1,40.0,31.0,1,1,0,16
211,0,3,1,24.0,7.05,1,1,0,14
212,1,2,0,35.0,21.0,1,1,16,26
213,0,3,1,22.0,7.25,1,1,0,22
214,0,2,1,30.0,13.0,1,1,0,27
215,0,3,1,29.69911764705882,7.75,2,0,0,19
216,1,1,0,31.0,113.275,2,0,16,23
217,1,3,0,27.0,7.925,1,1,16,22
218,0,2,1,42.0,27.0,2,0,0,28
219,1,1,0,32.0,76.2917,1,1,16,21
220,0,2,1,30.0,10.5,1,1,0,18
221,1,3,1,16.0,8.05,1,1,0,30
222,0,2,1,27.0,13.0,1,1,0,20
223,0,3,1,51.0,8.05,1,1,0,23
224,0,3,1,29.69911764705882,7.8958,1,1,0,20
225,1,1,1,38.0,90.0,2,0,0,28
226,0,3,1,22.0,9.35,1,1,0,28
227,1,2,1,19.0,10.5,1,1,0,25
228,0,3,1,20.5,7.25,1,1,0,31
229,0,2,1,18.0,13.0,1,1,0,25
230,0,3,0,29.69911764705882,25.4667,5,0,16,23
231,1,1,0,35.0,83.475,2,0,1,44
232,0,3,1,29.0,7.775,1,1,0,24
233,0,2,1,59.0,13.5,1,1,0,25
234,1,3,0,5.0,31.3875,7,0,16,30
235,0,2,1,24.0,10.5,1,1,0,33
236,0,3,0,29.69911764705882,7.55,1,1,16,28
237,0,2,1,44.0,26.0,2,0,0,17
238,1,2,0,8.0,26.25,3,0,16,32
239,0,2,1,19.0,10.5,1,1,0,31
240,0,2,1,33.0,12.275,1,1,0,22
241,0,3,0,29.69911764705882,14.4542,2,0,16,21
242,1,3,0,29.69911764705882,15.5,2,0,16,30
243,0,2,1,29.0,10.5,1,1,0,31
244,0,3,1,22.0,7.125,1,1,0,29
245,0,3,1,30.0,7.225,1,1,0,20
246,0,1,1,44.0,90.0,3,0,3,27
247,0,3,0,25.0,7.775,1,1,16,37
248,1,2,0,24.0,14.5,3,0,1,31
249,1,1,1,37.0,52.5542,3,0,0,29
250,0,2,1,54.0,26.0,2,0,4,29
251,0,3,1,29.69911764705882,7.25,1,1,0,22
252,0,3,0,29.0,10.4625,3,0,1,42
253,0,1,1,62.0,26.55,1,1,0,25
254,0,3,1,30.0,16.1,2,0,0,24
255,0,3,0,41.0,20.2125,3,0,1,40
256,1,3,0,29.0,15.2458,3,0,1,39
257,1,1,0,29.69911764705882,79.2,1,1,1,30
258,1,1,0,30.0,86.5,1,1,16,20
259,1,1,0,35.0,512.3292,1,1,16,16
260,1,2,0,50.0,26.0,2,0,1,27
261,0,3,1,29.69911764705882,7.75,1,1,0,17
262,1,3,1,3.0,31.3875,7,0,2,33
263,0,1,1,52.0,79.65,3,0,0,17
264,0,1,1,40.0,0.0,1,1,0,21
265,0,3,0,29.69911764705882,7.75,1,1,16,18
266,0,2,1,36.0,10.5,1,1,0,17
267,0,3,1,16.0,39.6875,6,0,0,25
268,1,3,1,25.0,7.775,2,0,0,24
269,1,1,0,58.0,153.4625,2,0,1,45
270,1,1,0,35.0,135.6333,1,1,16,22
271,0,1,1,29.69911764705882,31.0,1,1,0,21
272,1,3,1,25.0,0.0,1,1,0,28
273,1,2,0,41.0,19.5,2,0,1,41
274,0,1,1,37.0,29.7,2,0,0,21
275,1,3,0,29.69911764705882,7.75,1,1,16,26
276,1,1,0,63.0,77.9583,2,0,16,33
277,0,3,0,45.0,7.75,1,1,16,33
278,0,2,1,29.69911764705882,0.0,1,1,0,27
279,0,3,1,7.0,29.125,6,0,2,18
280,1,3,0,35.0,20.25,3,0,1,32
281,0,3,1,65.0,7.75,1,1,0,16
282,0,3,1,28.0,7.8542,1,1,0,32
283,0,3,1,16.0,9.5,1,1,0,25
284,1,3,1,19.0,8.05,1,1,0,26
285,0,1,1,29.69911764705882,26.0,1,1,0,26
286,0,3,1,33.0,8.6625,1,1,0,19
287,1,3,1,30.0,9.5,1,1,0,23
288,0,3,1,22.0,7.8958,1,1,0,20
289,1,2,1,42.0,13.0,1,1,0,20
290,1,3,0,22.0,7.75,1,1,16,20
291,1,1,0,26.0,78.85,1,1,16,28
292,1,1,0,19.0,91.0792,2,0,1,39
293,0,2,1,36.0,12.875,1,1,0,22
294,0,3,0,24.0,8.85,1,1,16,19
295,0,3,1,24.0,7.8958,1,1,0,16
296,0,1,1,29.69911764705882,27.7208,1,1,0,17
297,0,3,1,23.5,7.2292,1,1,0,18
298,0,1,0,2.0,151.55,4,0,16,28
299,1,1,1,29.69911764705882,30.5,1,1,0,21
300,1,1,0,50.0,247.5208,2,0,1,47
301,1,3,0,29.69911764705882,7.75,1,1,16,40
302,1,3,1,29.69911764705882,23.25,3,0,0,18
303,0,3,1,19.0,0.0,1,1,0,31
304,1,2,0,29.69911764705882,12.35,1,1,16,19
305,0,3,1,29.69911764705882,8.05,1,1,0,33
306,1,1,1,0.92,151.55,4,0,2,30
307,1,1,0,29.69911764705882,110.8833,1,1,16,23
308,1,1,0,17.0,108.9,2,0,1,82
309,0,2,1,30.0,24.0,2,0,0,19
310,1,1,0,30.0,56.9292,1,1,16,30
311,1,1,0,24.0,83.1583,1,1,16,30
312,1,1,0,18.0,262.375,5,0,16,26
313,0,2,0,26.0,26.0,3,0,1,37
314,0,3,1,28.0,7.8958,1,1,0,22
315,0,2,1,43.0,26.25,3,0,0,18
316,1,3,0,26.0,7.8542,1,1,16,31
317,1,2,0,24.0,26.0,2,0,1,35
318,0,2,1,54.0,14.0,1,1,3,20
319,1,1,0,31.0,164.8667,3,0,16,24
320,1,1,0,40.0,134.5,3,0,1,56
321,0,3,1,22.0,7.25,1,1,0,18
322,0,3,1,27.0,7.8958,1,1,0,16
323,1,2,0,30.0,12.35,1,1,16,25
324,1,2,0,22.0,29.0,3,0,1,51
325,0,3,1,29.69911764705882,69.55,11,0,0,24
326,1,1,0,36.0,135.6333,1,1,16,24
327,0,3,1,61.0,6.2375,1,1,0,25
328,1,2,0,36.0,13.0,1,1,1,23
329,1,3,0,31.0,20.525,3,0,1,46
330,1,1,0,16.0,57.9792,2,0,16,28
331,1,3,0,29.69911764705882,23.25,3,0,16,18
332,0,1,1,45.5,28.5,1,1,0,19
333,0,1,1,38.0,153.4625,2,0,0,25
334,0,3,1,16.0,18.0,3,0,0,31
335,1,1,0,29.69911764705882,133.65,2,0,1,50
336,0,3,1,29.69911764705882,7.8958,1,1,0,18
337,0,1,1,29.0,66.6,2,0,0,25
338,1,1,0,41.0,134.5,1,1,16,31
339,1,3,1,45.0,8.05,1,1,0,21
340,0,1,1,45.0,35.5,1,1,0,28
341,1,2,1,2.0,26.0,3,0,2,30
342,1,1,0,24.0,263.0,6,0,16,30
343,0,2,1,28.0,13.0,1,1,0,26
344,0,2,1,25.0,13.0,1,1,0,42
345,0,2,1,36.0,13.0,1,1,0,23
346,1,2,0,24.0,13.0,1,1,16,29
347,1,2,0,40.0,13.0,1,1,16,25
348,1,3,0,29.69911764705882,16.1,2,0,1,41
349,1,3,1,3.0,15.9,3,0,2,38
350,0,3,1,42.0,8.6625,1,1,0,16
351,0,3,1,23.0,9.225,1,1,0,22
352,0,1,1,29.69911764705882,35.0,1,1,0,38
353,0,3,1,15.0,7.2292,3,0,0,18
354,0,3,1,25.0,17.8,2,0,0,25
355,0,3,1,29.69911764705882,7.225,1,1,0,17
356,0,3,1,28.0,9.5,1,1,0,27
357,1,1,0,22.0,55.0,2,0,16,27
358,0,2,0,38.0,13.0,1,1,16,25
359,1,3,0,29.69911764705882,7.8792,1,1,16,20
360,1,3,0,29.69911764705882,7.8792,1,1,16,33
361,0,3,1,40.0,27.9,6,0,0,18
362,0,2,1,29.0,27.7208,2,0,0,25
363,0,3,0,45.0,14.4542,2,0,1,31
364,0,3,1,35.0,7.05,1,1,0,15
365,0,3,1,29.69911764705882,15.5,2,0,0,19
366,0,3,1,30.0,7.25,1,1,0,30
367,1,1,0,60.0,75.25,2,0,1,48
368,1,3,0,29.69911764705882,7.2292,1,1,1,30
369,1,3,0,29.69911764705882,7.75,1,1,16,19
370,1,1,0,24.0,69.3,1,1,11,29
371,1,1,1,25.0,55.4417,2,0,0,27
372,0,3,1,18.0,6.4958,2,0,0,25
373,0,3,1,19.0,8.05,1,1,0,26
374,0,1,1,22.0,135.6333,1,1,0,19
375,0,3,0,3.0,21.075,5,0,16,26
376,1,1,0,29.69911764705882,82.1708,2,0,1,37
377,1,3,0,22.0,7.25,1,1,16,31
378,0,1,1,27.0,211.5,3,0,0,25
379,0,3,1,20.0,4.0125,1,1,0,19
380,0,3,1,19.0,7.775,1,1,0,27
381,1,1,0,42.0,227.525,1,1,16,21
382,1,3,0,1.0,15.7417,3,0,16,27
383,0,3,1,32.0,7.925,1,1,0,18
384,1,1,0,35.0,52.0,2,0,1,51
385,0,3,1,29.69911764705882,7.8958,1,1,0,22
386,0,2,1,18.0,73.5,1,1,0,25
387,0,3,1,1.0,46.9,8,0,2,31
388,1,2,0,36.0,13.0,1,1,16,16
389,0,3,1,29.69911764705882,7.7292,1,1,0,20
390,1,2,0,17.0,12.0,1,1,16,21
391,1,1,1,36.0,120.0,4,0,0,26
392,1,3,1,21.0,7.7958,1,1,0,22
393,0,3,1,28.0,7.925,3,0,0,28
394,1,1,0,23.0,113.275,2,0,16,22
395,1,3,0,24.0,16.7,3,0,1,51
396,0,3,1,22.0,7.7958,1,1,0,19
397,0,3,0,31.0,7.8542,1,1,16,19
398,0,2,1,46.0,26.0,1,1,0,23
399,0,2,1,23.0,10.5,1,1,3,16
400,1,2,0,28.0,12.65,1,1,1,32
401,1,3,1,39.0,7.925,1,1,0,18
402,0,3,1,26.0,8.05,1,1,0,15
403,0,3,0,21.0,9.825,2,0,16,24
404,0,3,1,28.0,15.85,2,0,0,30
405,0,3,0,20.0,8.6625,1,1,16,23
406,0,2,1,34.0,21.0,2,0,0,18
407,0,3,1,51.0,7.75,1,1,0,32
408,1,2,1,3.0,18.75,3,0,2,30
409,0,3,1,21.0,7.775,1,1,0,33
410,0,3,0,29.69911764705882,25.4667,5,0,16,18
411,0,3,1,29.69911764705882,7.8958,1,1,0,18
412,0,3,1,29.69911764705882,6.8583,1,1,0,15
413,1,1,0,33.0,90.0,2,0,16,22
414,0,2,1,29.69911764705882,0.0,1,1,0,30
415,1,3,1,44.0,7.925,1,1,0,25
416,0,3,0,29.69911764705882,8.05,1,1,1,39
417,1,2,0,34.0,32.5,3,0,1,47
418,1,2,0,18.0,13.0,3,0,16,29
419,0,2,1,30.0,13.0,1,1,0,26
420,0,3,0,10.0,24.15,3,0,16,25
421,0,3,1,29.69911764705882,7.8958,1,1,0,22
422,0,3,1,21.0,7.7333,1,1,0,19
423,0,3,1,29.0,7.875,1,1,0,18
424,0,3,0,28.0,14.4,3,0,1,54
425,0,3,1,18.0,20.2125,3,0,0,27
426,0,3,1,29.69911764705882,7.25,1,1,0,22
427,1,2,0,28.0,26.0,2,0,1,43
428,1,2,0,19.0,26.0,1,1,16,67
429,0,3,1,29.69911764705882,7.75,1,1,0,16
430,1,3,1,32.0,8.05,1,1,0,34
431,1,1,1,28.0,26.55,1,1,0,41
432,1,3,0,29.69911764705882,16.1,2,0,1,49
433,1,2,0,42.0,26.0,2,0,1,51
434,0,3,1,17.0,7.125,1,1,0,26
435,0,1,1,50.0,55.9,2,0,0,25
436,1,1,0,14.0,120.0,4,0,16,25
437,0,3,0,21.0,34.375,5,0,16,36
438,1,2,0,24.0,18.75,6,0,1,37
439,0,1,1,64.0,263.0,6,0,0,17
440,0,2,1,31.0,10.5,1,1,0,38
441,1,2,0,45.0,26.25,3,0,1,43
442,0,3,1,20.0,9.5,1,1,0,15
443,0,3,1,25.0,7.775,2,0,0,25
444,1,2,0,28.0,13.0,1,1,15,25
445,1,3,1,29.69911764705882,8.1125,1,1,0,33
446,1,1,1,4.0,81.8583,3,0,2,25
